Boucher, (Jean-Jacques), Histoire du Loir-et-Cher à travers son Conseil Général de 1790 à nos jours, Paris, Ed. Lanore, Sorlot, 1984, 238 p. C 321;;;;;;;;
Auteurs - Titres - Editeurs - Année;cote;Nb ex sup;année entrée ;Provenance;lieu-personnage;mot clé 1;mot clé 2;
Poignat (Maurice), Parthenay et le quartier Saint-Jacques, gîte d'étape sur la route de Compostelle, Parthenay, s. n., [v. 1964], 24 p., BBH 985/40;BBH 985/40;;;;Poitou;Saint-Jacques;;
"Poulbrière (J. B.), ""Castelnau de Bretenoux (1874)"", extr. de la Revue de l'Art Chrétien, Arras, typo. A. planque et cie, 1874, 54 p., BBH 984/40";BBH 984/40;;;;histoire;religion;;
"La Coste Messelière (René de), ""Les chemins de Saint-Jacques et la Renaissance du XIe siècle"", in bulletin trimestriel du Centre international d'Etudes Romanes, Janvier 1962, p.8-19, BBH 983/40";BBH 983/40;;;;histoire;Saint-Jacques;;
"La Coste Messelière (René de), ""Les chemins de Saint-Jacques de Compostelle"", in Le Carillon, 17e année, 7, juillet1963, 4 p., BBH 982/40";BBH 982/40;;;;histoire;Saint-Jacques;;
Parfouru (Paul), Les délégués de l'archevêque de Tours en Bretagne en Bretagne, 1570-1790, Rennes, impr.Marie Simon et Cie, 1894, 66 p., BBH 981/40;BBH 981/39;;;;Tours;religion;;
Sadoux (Jacques, abbé), Le chanoine Pierre Pinault, archiprêtre de la Cathédrale, Tours, impr. Mariotton, [v. 1940], 42p., BBH 980/40;BBH 980/39;;;;Tours;religion;;
"Tissot (Dom Gabriel), Le rôle liturgique d'un monastère, conférence donnée le 9 août 1936 à l'Assemblée générale de l'Association "" Les Amis de Solesmes"", Sablé-sur-Sarthe, impr. E. Coconnier, s. d., 19 p., BBH 979/40";BBH 979/39;;;;histoire;religion;;
Archevêché de Tours, Instructions sur la confrérie du saint-scapulaire de Notre-Dame du Mont-Carmel, Chinon, impr. F. Breton, 1817, 30 p., BBH 978/40;BBH 978/39;;;;Touraine;religion;;
Williez (Mgr Alfred), Oraison funèbre de son Eminence le Cardinal Meignan, archevêque de Tours, prononcé dans la cathédrale de Tours, le jeudi 8 mars 1896, Arras, impr. de la Société du Pas-de-Calais, 1896, 30 p., BBH 977/40;BBH 977/39;;;;Tours;religion;archevêque;
Vitry (Bernard), Tour Charlemagne, Les annales martiniennes, 54, Tours, 1962, 18 p., BBH 976/40;BBH 976/39;;;;Saint-Martin;charlemagne;;
Verger (abbé P.), Discours à l'occasion de la bénédiction et de l'inauguration de la basilique Saint-Martin, Tours, impr. E. Soudée, 15 p., BBH 975/39 ;BBH 975/39;;;;Saint-Martin;basilique;;
Grandmaison (Charles de), Tombeau de la bienheureuse Jeanne de Maillé, Tours, impr. J. Bouserez, 14 p., BBH 974/40;BBH 974/39;;;;Touraine;religion;;
Laporte ( dom Jean), L'Abbaye Saint-Wandrille, Saint-Wandrille, édit. de Fontenelle, 1956, 44 p., BBH 973/39;BBH 973/39;;;;architecture;religion;;
Poüan (B. Th.), Notice sur la chapelle et le tombeau de Saint Martin de Tours, Lille, édit. Desclée de Brouwer et Cie, 1882, 103 p., BBH 972/39;BBH 972/39;;;;Saint-Martin;tombeau;;
Poüan (B.-Th.), Notice sur la chapelle de Notre-Dame des Sept-Dormants à Marmoutier, Tours, impr. A. Mame et Fils, 1881, 96 p., BBH 971/39;BBH 971/39;;;;Marmoutier;grotte;;
"Mazis (R. P. Antoine des), L'entrée de Solesmes dans la congrégation de Saint-Maur (1664-1706), conférence donnée le 16 avril 1950 à l'Assemblée générale de l'Association "" Les Amis de Solesmes"", Sablé-sur-Sarthe, impr. E. Coconnier, 1950, BBH 970/39";BBH 970/39;;;;Maine;religion;;
Montrot (Ernest), Les saintes Maure et Britte en Touraine et dans le Beauvaisis, Poitiers, Société française d'imprimerie et de librairie, 1939, 22p., BBH 969/39;BBH 969/39;;;;Touraine;Sainte-Maure;religion;
Robert (Dom L.), L'année 1870 à Solesmes, Association des amis de Solesmes, Sablé-sur-Sarthe, impr. E. Coconnier, 1956, 35 p., BBH 968/39;BBH 968/39;;;;Maine;guerre 1870;;
"Robert (Dom. L.), Les hôtes de dom Guéranger, conférence donnée le 2 août 1953 à l'assemblée générale de l'association ""Les Amis de solesmes"", Sablé-sur-Sarthe, impr. E. Coconnier, 1954, 36 p., BBH 967/39";BBH 967/39;;;;Maine;religion;;
"Robert (Dom L.), Un voyage de dom Gueranger, conférence donnée le 24 juillet 1938 à l'assemblée générale de l'association ""Les Amis de solesmes"", Sablé-sur-Sarthe, impr. E. Coconnier, 1938, 27 p., BBH 966/39";BBH 966/39;;;;Maine;religion;;
[Collectif],  Exposition. Travaux et recherches du pré-inventaire du Loiret. Eléments pour une étude du Vieil Orléans, Orléans, tapuscrit Inventaire général des monuments et des richesses artistiques de la France,commission régionale du centre,  1974, 25 p.,BBH 965/39;BBH 965/39;;;;Orléanais;patrimoine Orléans;;
"Oury (Dom Guy), ""Un saint céphalophore de Touraine ? Saint Quentin"", extr. d'Analecta bollandiana, revue critique d'hagiographie, 97,3-4,  Bruxelles, édit. Wetteren, Belgique, 1979, p.289-300, BBH 964/39";BBH 964/39;;;;Touraine;religion;;
"Oury (Dom Guy), ""Le De Claustro animae de Jean, prieur de Saint-Jean-des-Vignes"", in Revue d'ascétique et de mystique, XL, 4, 160, Paris, édit. CNRS, 1964, p. 427-442, 4 ex., BBH 963/39 .is, ";BBH 963/39;;;;histoire;religion;;
"Oury (Dom Guy), ""Les retraites spirituelles de Dominique Sain, théologal de Tours"", in Revue d'ascétique et de mystique, 45, 1, 177, Paris, édit. CNRS, 1969,  p. 65-78, BBH 962/39";BBH 962/39;;;;Tours;religion;;
Oury (Dom Guy), Les survivances de l'Oratio fidelium au XIIe siècle (Honorius d'Autun), s. n., s. d., p. 142-148, BBH 961/39;BBH 961/39;;;;histoire;religion;;
"Oury (Dom Guy), ""Le libellus de contemplatione de Maître Hildebrand"", in Revue d'ascétique et de mystique, XLIII, 3, 171,1967, Paris, édit. CNRS, 1967, p.267-276, BBH 960/39";BBH 960/39;;;;histoire;religion;;
"Oury (Dom Guy), ""Sainte Opportune, sa vie et ses reliques"", extr.de l'Abbaye d'Almenèches-Argentan, Paris, Bibliothèque d'Histoire et d'Archéologie chrétiennes, édit. P. Lethellieux, 1970, p. 221-236, BBH 959/39";BBH 959/39;;;;histoire;religion;;
"Oury (Dom Guy), ""Essai sur la spiritualité d'Hervé de Bourg-Dieu"", in Revue d'ascétique et de mystique, XLII, 4, 172, Paris, édit. CNRS, 1967, p. 369-392, BBH 958/39";BBH 958/39;;;;histoire;religion;;
Oury (Dom Guy), Les pélerins de Dieu. M. Dupont et ses amis, Tours, Centre Spirituel, 1976, 23 p., BBH 957/39;BBH 957/39;;;;Tours;religion;;
"Oury (Dom Guy), ""Pour une meilleure connaissance de la formation spirituelle de Marie de l'Incarnation : Le mouvement de restauration catholique en Touraine (1599-1639)"", 2 parties , extr. d'Eglise et Théologie, 1, 1970, p. 39-59, p. 171-204, BBH 956/39 1-2";BBH 956/39;;;;Touraine;Marie de l'Incarnation;;
Janvier (R. P. Albert), XVe centenaire de la mort de Saint Martin. Discours prononcé en l'église métropolitaine de Tours le 14 novembre 1897, Tours, impr. A. Mame et fils, 1897, 16 p., 2 ex BBH 955/39;BBH 955/39;;;;saint Martin;culte;;
Jeanvrot (Victor), Le clergé national sous la Révolution, Pierre Suzor évêque de Tours, Paris, édit. Charavay frères, 1887, 78 p., 2 ex., BBH 954/39;BBH 954/39;;;;Tours;religion 1789;;
[Collectif], Aspects de la Beauce du Moyen Âge à nos jours, Orléans-Tours, CDDP d'Eure et Loir, 1976, 46 p., BBH 953/39;BBH 953/39;;;;Beauce;;;
[Collectif], Hommage à la reine Marie-José d'Italie, à l’occasion de la réception de Madame Micheline Bosson, Château de Coppet (1980), Académie Berrichonne, 1980, 16 p., 15 lettres et un portrait, BBH 952/39;BBH 952/39;;;;histoire;;;
Pascal (Vincent de), La vocation de la France et Saint Martin,  discours prononcé à Tours, dans l'église cathédrale, le 11 novembre 1877, Tours, impr. Paul Bouserez, s. d., 23 p., BBH 951/39;BBH 951/39;;;;saint Martin;culte;;
"Oury (Dom Guy), ""La correspondance de Marie de l'Incarnation d'après le registre des bienfaiteurs des Ursulines de Québec"", extr. d'Eglise et Théologie, 3, 1972, p. 5-44, 2 ex., BBH 950/38.";BBH 950/38;;;;Tours;Marie Incarnanation;;
"Oury (Dom Guy), ""De Reims à Montréal : une lettre de M. Le Saulnier (1818)"", extr. des Mémoires  la Société d'agriculture, Commerce, Sciences et Arts du département de la Marne (Ancienne Académie de Châlons, fondée en 1750) , LXXXVII, Châlons sur Marne, 1972, p. 253-261, BBH 949/38";BBH 949/38;;;;histoire;Marne 19e;;
Chevalier (Casimir, abbé), Etudes sur les critiques anti-grégoriens et sur l'apostolat de Saint Gatien. I - Les treize cas de M. Jéhan, II - Lettre à M. l'Abbé Rolland sur quelques principes de critique, Tours, impr. Jules Bouserez, 1870, I -36 p., II- 44 p., BBH 948/38;BBH 948/38;;;;Tours;culte;saint Gatien;
Boissonnot (Chanoine Henri), A la gloire de la basilique Saint-Martin du baptème de Clovis à Tours, Tours, impr. tourangelle, 1925, 45 p., BBH 947/38;BBH 947/38;;;;saint Martin;culte;;
Bosseboeuf (abbé Louis), Tours et ses monuments, l'Archevêché, la Cathédrale et le cloître Saint-Gatien, Tours, libr. Impr. L. Bousrez, 1895, 62 p., BBH 946/38;BBH 946/38;;;;Tours;cathédrale;;
"Clérambault (Gatian de), ""Les processions de la fête Dieu à Tours pendant les quatre derniers siècles"", extr. du BSAT XVIII, Tours, impr. J. Allard, 1911, p.1-12, BBH 945/38";BBH 945/38;;;;Tours;religion;;
"Oury (Dom Guy-Marie), ""Les débuts du missionnaire Sigogne en Acadie"", extr. du Cahier des Dix, 40, Québec, Les Editions des Dix, 1975, p. 43-86, BBH 944/38";BBH 944/38;;;;Touraine;religion;Canada;
"Oury (Dom Guy), ""Les messes de Saint-Martin dans les sacramentaires gallicans, romano-francs et milanais"", extr. des Etudes Grégoriennes : messes de Saint Martin, s. d., p. 73-97, BBH 943/38";BBH 943/38;;;;saint martin;culte;;
Manque décembre  2011, Oury (Dom Guy), L'autel face au peuple, BBH 942/38 ;Manque;;;;histoire;culte;;
Chevalier (Casimir), Les quinze ioyes Nostre-Dame et autres devotes oroisons,tirées de deux manuscrits duXVe, Tours, impr. J. Bouserez, 1862, 22 p., 2 ex., BBH 941/38;BBH 941/38;;;;Touraine;religion;;
"Pohu (Abbé), ""Fontevrault, l'abbaye"", extr. des Cahiers Universitaires Catholiques, avril 1965, p. 392-395, BBH 940/38";BBH 940/38;;;;Anjou;Fontevrault;;
"Leveel (Pierre), ""Présentation de Tours"", extr. des Cahiers Universitaires Catholiques, avril 1965, p. 373-379, BBH 939/38";BBH 939/38;;;;Tours;identité;;
"Fontaine (J.), ""Un maître spirituel méconnu : Saint-Martin de Tours"", extr. Cahiers Universitaires Catholiques, avril 1965, p. 380-391, BBH 938/38";BBH 938/38;;;;saint Martin;vie spirituelle;;
Dupin de Saint-André(A.), Consécration des anciens prêtres, Tours, Impr. Deslis Frères, 1900, 31 p., BBH 937/38;BBH 937/38;;;;Tours;religion;;
Fleuret (A.), Les vocations sacerdotales, Cartulaire des Bénédictines de Beaumont-les-Tours, 1090-1294, Paris, 1898,  44 p., BBH 936/38;BBH 936/38;;;;Tours;Beaumont-lès-Tours;cartulaire;
Denis (Abbé A), Les vocations sacerdotales, discours prononcé à la distribution des prix du petit séminaire de Tours, le 24 juillet 1906, Tours, impr.  Paul Bousrez, 1906, 20 p., BBH 935/38;BBH 935/38;;;;Tours;religion;;
"Gasnault (Pierre), ""La narratio in reversione beati martini a Burgundia du pseudo-Eudes de Cluny, (sources et influences)"", extr. de Studia Anselmiana, 46, 1961, p. 159-174, BBH 934/38";BBH 934/38;;;;saint Martin;textes;;
"Gasnault (Pierre), ""Notes et documents sur la Chambre Apostolique à l'époque d'Urbain V"", extr. des  Mélanges d'Archéologie et d'Histoire, publiés par l'Ecole Française de Rome, Paris, 1958, p. 367-394, BBH 933/38";BBH 933/38;;;;histoire;religion;;
"Gasnault (Pierre), ""Les malheurs de l'abbaye Saint-Médard de Soissons au début de la guerre de Cent Ans"", extr. de la Revue Mabillon,1960, p. 69-80,  BBH 932/38";BBH 932/38;;;;histoire;religion;;
"Gasnault (Pierre), ""Une supplique originale de l'abbaye de Cluny approuvée par Martin V"", extr. de la Revue Mabillon, 1961, p. 325-328,  BBH 931/38";BBH 931/38;;;;histoire;Religion;;
"Giry (A.), ""Chartes de Saint-Martin de Tours, collationnées par Baluze sur les originaux"", extr. de la Bibliothèque de l'Ecole des Chartes, XLII, Nogent-Le-rotrou, impr. Daupeley-Gouverneur, 1881, p. 1-6, BBH 930/38";BBH 930/38;;;;Saint-Martin;charte;;
Gasnault (Pierre), Martin (Henri), Une nouvelle charte de Théotolon, extr. du BSAT, XXXV, 1967, p. 91-96, BBH 929/38;BBH 929/38;;;;Saint-Martin;charte;;
Charon (A.), Saint-Nicolas d'Angers, hier et aujourd'hui, notice historique,1971, 23 p., BBH 928/38;BBH 928/38;;;;Angers;église;;
"François (Dom Grégoire), ""Panégyrique de la Solitude"" in La Vie Bénédictine, 43e année,n° 8-9,Ligugé, impr. E. Aubin, 1935, p. 344-350, BBH 927/38";BBH 927/38;;;;histoire;religion;;
Dupanloup (Monseigneur), Panégyrique de Saint-Martin, Evêque de Tours, prononcé à Tours dans l'Eglise cathédrale le 16 novembre 1862 par Mgr l'Eveque d'Orléans, Paris, libr. édit.  Douniol, 1862, 58 p., 2 ex., BBH 926/38;BBH 926/38;;;;saint Martin;Tours 19e;;
"Gasnault (Pierre), ""L'abbaye Saint-Crépin-le-Grand de Soissons en 1372"", extr. de la Revue Mabillon, XLIX,1959, p. 69-76, BBH 925/37";BBH 925/37;;;;histoire;culte;;
"Gasnault (Pierre), ""La perception dans le royaume de France du subside sollicité par Jean XXII, Contra haereticos et rebelles partium italiae"", extr. des Mélanges d'Archéologie et d'Histoire, publiés par l' Ecole Française de Rome, Paris,1958, p. 273-319, BBH 924/37";BBH 924/37;;;;histoire;religion;;
"Gasnault (Pierre), ""Quatre suppliques inédites adressées à Jean XXII"", extr. de Bullettino dell ""Archivo paleografico italiano"", II-III (1956-1957), Partie I, Rome, 1957, p. 317-323, BBH 923/37";BBH 923/37;;;;histoire;religion;;
Freppel (Mgr), Oraison funèbre de Mgr Fruchaud, archevêque de Tours, prononcée le 10 décembre 1874 dans la Cathédrale de Tours,  Angers, impr. E. Barassé, 1874, 24 p., BBH 922/37;BBH 922/37;;;;Tours;archevêque 19e;;
Frégault (Guy), La nouvelle France à l'époque de Marie de l'Incarnation, conférence prononcée à Tours le 18 avril 1964, à l occasion du 325e anniversaire du départ pour le Canada de Marie de l'incarnation, Tours, 1964, 7 p., BBH 921/37;BBH 921/37;;;;Tours;Marie de l'Incarnation;;
Frégault (Guy), La nouvelle France à l'époque de Marie de l'Incarnation, 1964, BBH 921/37;BBH 921/37;;;;Touraine;Marie de l'Incarnation;;
"Oury (Dom Guy), ""Sainte Opportune, sa vie et ses reliques"", extr. de  L'abbaye d'Almenèches-Argentan et Sainte Opportune, sa vie et son culte, Paris, édit. Bibliothèque d'histoire et d' archéologie chrétiennes, 1970, p. 222-236, BBH 920/37";BBH 920/37;;;;histoire;sainte Opportune;;
Leveel (Pierre), Tours, métropole au cours des siècles, extr. de s. n., Tours, s. d., p. 16-17, BBH 919/37;BBH 919/37;;;;Tours;identité;;
[Collectif], Architecture et traditions en Pays Fort, préinventaire du canton de Vailly-sur-Sauldre (Cher), Orléans, Inventaire général, 1975, 43 p., BBH 918/37;BBH 918/37;;;;Berry;architecture rurale;;
Weelen (J..E.), La Sainte-Trinité de Vendôme sous l'Empire et la Restauration, Blois, édit. R. Sille, 1955, 16 p., 3 gravures, BBH 917/37 ;BBH 917/37;;;;Vendômois;abbaye de la Trinité;;
[Collectif], Almanach  du magasin pittoresque, Paris, impr. Schneider, 1852, 64 p., BBH 916/37;BBH 916/37;;;;divers;littérature 19e;;
"Toulier (Bernard), ""Habitats de Sologne (paysages et villages, la terre et le bois, maisons des champs, des forêts et des bourgs, le mythe de la résidence secondaire)"" , extr. de la collection L'Homme et la Nature , Paris, 1979, p. 149-169, BBH 915/37";BBH 915/37;;;;Sologne;architecture rurale;;
[Anonyme], Châtillon-sur-Indre, Revue Décentralisation 28, Châteauroux, 1965, 8 p., BBH 914/37;BBH 914/37;;;;Touraine;Châtillon-sur-Indre;;
"Toulier (Bernard), ""La Sologne, terre saturée de châteaux"", extr. de la Revue des Vieilles Maisons Françaises, 1979, p. 12-17, BBH 913/37";BBH 913/37;;;;Sologne;châteaux;;
"Souty (Pierre), ""Le brillant destin de Marthe Landru"", extr. du Bulletin de la société des antiquaires de l’Ouest, 4e série, XIII, Poitiers, 1976, p. 395-398, BBH 912/37";BBH 912/37;;;;histoire;biographie;;
Manque décembre  2011, BBH 911/37;BBH 911/37;;;;archéologie;;;
Manque décembre  2011, BBH 910/37;BBH 910/37;;;;archéologie;;;
Manque décembre  2011,, BBH 909/37;BBH 909/37;;;;archéologie;;;
Manque décembre  2011,, BBH 908/37;BBH 908/37;;;;?;;;
Manque décembre  2011,, BBH 907/37;BBH 907/37;;;;méthodologie archéologie;;;
Manque décembre  2011, BBH 906/37;BBH 906/37;;;;divers;;;
Manque décembre  2011, BBH  905/37;BBH 905/37;;;;architecture;;;
Manque décembre  2011,  BBH 904/37;BBH 904/37;;;;Divers;;;
[Collectif], Aubigny, architectures, exposition itinérante préparée et présentée par le Secrétariat régional d'inventaire du Centre, Orléans, impr. ministère de la Culture et Communication, 1979, 64 p., BBH 903/37;BBH 903/37;;;;Berry;architecture;;
Rémy (Fernand), Un épisode de l'opposition à Napoléon en Belgique. La destitution de Charles Antoine de La Serna Santander, bibliothécaire de la ville de Bruxelles , s. l., s. d., p. 15-20, BBH 902/37;BBH 902/37;;;;Histoire;Belgique 19e;;
"Fleischman (Tého), ""En écoutant parler les grognards de Napoléon"", extr. de la collection ""Au cœur de l'histoire"", s. l., édit. Brepols,  s. d.,  p. 7-14, BBH 901/37";BBH 901/37;;;;Histoire;langue populaire  ;1800;
Darquenne (R), Waterloo dix heures du matin, s. d.,  p. 23-25, BBH 900/36;BBH 900/36;;;;Histoire;guerre Napoléon;;
Debray (André), Les Cents Jours-Waterloo, tapuscrit, 1815, 3 p., 1 carte, BBH 899/36;BBH 899/36;;;;Histoire;guerre Napoléon;;
"[Collectif],""Souterrains d'église à Paizay-Le-Tort, Dillonvilliers, Orléans"", extr. de Subterranea, 19, 1976, p. 47-72, BBH 898/36";BBH 898/36;;;;Orléanais;souterrains;;
"Schweitz (Daniel), 1978, ""Sur la fouille archéographique et l'étude du mobilier céramique des souterrains aménagés"", extr. Subterranea, Bulletin de la Société française d'Etude des Souterrains, 1978, 25, p. 47-52,  BBH 897/36";BBH 897/36;;;;méthodologie archéologie;souterrains;;
Delétang (Henri), Les mariniers de la Loire, Cannes, édit. Coopérative de l'Enseignement Laic, 1975, 40 p., BBH 896/36;BBH 896/36;;;;Touraine;marine de Loire;;
Billard (abbé), Saint Rémy le reliquaire -chef de la Ville-Dieu-du-Clain, 25 aout 1918, Poitiers, société française d imprimerie, 20 p., BBH 895/36;BBH 895/36;;;;Poitou;Saint-Rémy-sur-Creuse;;
"Antin (Paul), ""La mort de Saint Martin"", extr. de la Revue des études anciennes, LXVI, 1-2, janvier-juin 1964,  Bordeaux, édit. Féret et Fils, 1964, p. 108-120, BBH 894/36";BBH 894/36;;;;saint Martin;culte;;
Audard (Ernest, abbé), La mission de l'histoire, discours prononcé à la distribution des prix du petit Séminaire de Tours, le 23 juillet 1912, Tours, impr. Allard, 1912, 13 p., BBH 893/36;BBH 893/36;;;;Tours;Religion enseignement;;
Audart (Ernest, abbé), Essai bibliographique sur les actes épiscopaux de Mgr de Conzié, archevêque de Tours, (1774-1795), extr. BSAT, t. XIX, Tours, impr. Mame, 1914, 23 p. , 2 ex. , BBH 892/36;BBH 892/36;;;;Tours;Religion;;
Audard (Ernest, abbé), Bibliographie des mandements, ordonnances et lettres pastorales de Pierre Suzor, évêque constitutionnel d'Indre-et-Loire, (1791-1801), extr. BSAT, t. XIX, Tours, impr. Mame, 1914, 11 p. , BBH 891/36;BBH 891/36;;;;Tours;Religion;;
Bosseboeuf (F. chanoine), Canonisation de sainte Bernadette, Lourdes et le carmel de Tours, une lettre inédite et inconnue de sainte Bernadette, le colonel P. d'Augustin et sa famille, la Rév. Mère Thérèse de Saint-Joseph Prieure du Carmel, Tours, impr. Mame, 1914, 31 p., BBH 890/36;BBH 890/36;;;;Tours;religion;;
